time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1436,2026-09-21,False,13,991320.37,311042.37,4,0,0,0,,002871.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.00868,-0.450307,0.339934,51182.5967
1521,2026-09-18,False,13,950452.83,135214.83,5,0,0,0,,002871.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.049547,-0.318678,0.393665,38773.1533
1637,2026-09-21,False,13,1078554.48,338840.48,4,0,0,0,,002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.078554,-0.335021,0.367713,39498.3519
1825,2026-09-21,False,12,950452.83,135214.83,5,0,0,0,,002875.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.049547,-0.318678,0.393665,38773.1533
2140,2026-09-21,False,13,1275502.61,403790.61,4,0,0,0,,002875.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.275503,-0.292422,0.418719,41781.0052
