time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
0006,2026-08-27,False,10,1322293.92,1322293.92,0,0,0,0,,002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.322294,-0.258668,0.422886,40806.497
0206,2026-08-27,False,10,963856.56,963856.56,0,0,0,0,,002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.036143,-0.511685,0.341637,47579.4455
2100,2026-08-28,False,12,882896.19,882896.19,0,0,0,0,,002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.117104,-0.321092,0.35468,32892.6225
