time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1408,2026-09-10,True,0,753058.38,753058.38,0,5,5,0,BUY:002909.SZ:15300:ALLOW;BUY:003023.SZ:4900:ALLOW;BUY:003020.SZ:7500:ALLOW;BUY:002923.SZ:11700:ALLOW;BUY:003017.SZ:5600:ALLOW,002875.SZ;002909.SZ;002915.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.247324,-0.679659,0.346633,62537.9147
1446,2026-09-10,True,0,1074555.44,1074555.44,0,1,0,1,BUY:603679.SH:37100:BLOCK,002909.SZ;002915.SZ;002917.SZ;003015.SZ;003016.SZ;003017.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.074555,-0.326011,0.405,34518.0327
1554,2026-09-10,True,0,1086412.03,1086412.03,0,0,0,0,,002909.SZ;002915.SZ;002917.SZ;003015.SZ;003016.SZ;003017.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.086412,-0.317448,0.402985,34871.3064
1723,2026-09-10,True,0,1086213.71,1086213.71,0,1,0,1,BUY:003020.SZ:54500:BLOCK,002909.SZ;002915.SZ;002917.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.086214,-0.317446,0.402985,34874.1933
2004,2026-09-10,True,0,1025222.70,1025222.70,0,2,0,2,BUY:002909.SZ:52300:BLOCK;BUY:002923.SZ:40000:BLOCK,002909.SZ;002915.SZ;002917.SZ;003015.SZ;003016.SZ;003017.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.025223,-0.385054,0.382488,36621.8087
