time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1404,2026-09-08,False,2,788765.52,788765.52,0,0,0,0,,002875.SZ;002909.SZ;002915.SZ;002917.SZ;003015.SZ;003016.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.211234,-0.535366,0.338028,39176.3067
1439,2026-09-08,False,2,1071772.39,1071772.39,0,0,0,0,,002875.SZ;002909.SZ;002915.SZ;002917.SZ;003015.SZ;003016.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.071772,-0.375969,0.353846,45452.7854
1551,2026-09-07,False,13,882251.21,134406.21,5,0,0,0,,002909.SZ;002915.SZ;002917.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.117749,-0.3758,0.359606,35955.4516
1959,2026-09-08,False,2,1322372.50,1322372.50,0,0,0,0,,002875.SZ;002909.SZ;002915.SZ;002917.SZ;003015.SZ;003016.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.322373,-0.25863,0.422886,40806.5184
