time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1400,2026-09-02,False,6,720317.12,720317.12,0,0,0,0,,002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.279683,-0.619885,0.356287,48689.5046
1432,2026-09-02,False,6,566573.03,566573.03,0,0,0,0,,002875.SZ;002909.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.433427,-0.705694,0.375,59925.9449
1719,2026-09-02,False,13,1029807.17,1029807.17,0,0,0,0,,002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.029807,-0.331817,0.368984,35115.6832
