symbol,date,close,momentum,rank
003023.SZ,2026-08-20,27.93,0.326211,1
003020.SZ,2026-08-20,19.17,0.228846,2
002923.SZ,2026-08-20,11.44,0.152064,3
002883.SZ,2026-08-20,9.15,0.057803,4
003016.SZ,2026-08-20,6.86,0.057011,5
603655.SH,2026-08-20,32.62,0.051241,6
002909.SZ,2026-08-20,5.19,0.019646,7
003017.SZ,2026-08-20,22.36,0.015579,8
603679.SH,2026-08-20,21.5,0.013673,9
003015.SZ,2026-08-20,12.43,0.00485,10
002917.SZ,2026-08-20,10.31,-0.001936,11
002896.SZ,2026-08-20,68.76,-0.057049,12
603721.SH,2026-08-20,17.21,-0.098953,13
002915.SZ,2026-08-20,16.86,-0.113098,14
002875.SZ,2026-08-20,13.28,-0.184776,15
003025.SZ,2026-08-20,12.07,-0.200662,16
002871.SZ,2026-08-20,16.47,-0.205882,17
002922.SZ,2026-08-20,25.2,-0.258169,18
003018.SZ,2026-08-20,39.7,-0.356251,19
002903.SZ,2026-08-20,27.88,-0.453333,20
