date,symbol,quantity,available_to_sell,avg_cost,last_price,market_value,unrealized_pnl
2026-08-20,002883.SZ,13200,13200,9.0327,9.15,120780.0,1548.24
2026-08-20,603679.SH,5400,5400,17.9608,21.5,116100.0,19111.92
2026-08-20,003023.SZ,4200,4200,27.9984,27.93,117306.0,-287.27
2026-08-20,002923.SZ,10200,10200,11.6635,11.44,116688.0,-2279.68
2026-08-20,003020.SZ,6400,6400,18.6156,19.17,122688.0,3548.27
2026-08-20,603655.SH,3600,3600,32.8298,32.62,117432.0,-755.45
2026-08-20,003016.SZ,17300,17300,6.8821,6.86,118678.0,-381.71
2026-08-20,003017.SZ,5400,5400,21.7165,22.36,120744.0,3474.83
