date,symbol,quantity,available_to_sell,avg_cost,last_price,market_value,unrealized_pnl
2026-08-19,603679.SH,5800,5800,17.9603,22.73,131834.0,27664.04
2026-08-19,003023.SZ,4600,4600,27.9984,27.75,127650.0,-1142.63
2026-08-19,002923.SZ,11000,11000,11.6635,11.66,128260.0,-38.48
2026-08-19,002883.SZ,14300,14300,9.0327,9.39,134277.0,5109.26
2026-08-19,003020.SZ,6900,6900,18.6156,19.41,133929.0,5481.48
2026-08-19,603655.SH,3900,3900,32.8298,33.75,131625.0,3588.6
2026-08-19,003016.SZ,18700,18700,6.8821,7.02,131274.0,2579.4
2026-08-19,003017.SZ,5900,5900,21.7165,23.31,137529.0,9401.57
