symbol,date,close,momentum,rank
003023.SZ,2026-08-20,27.41,0.331229,1
003020.SZ,2026-08-20,19.35,0.25731,2
002923.SZ,2026-08-20,11.44,0.152064,3
603655.SH,2026-08-20,33.04,0.107981,4
003016.SZ,2026-08-20,6.91,0.091627,5
003017.SZ,2026-08-20,22.58,0.045855,6
603679.SH,2026-08-20,21.56,0.032567,7
002883.SZ,2026-08-20,9.11,0.0213,8
003015.SZ,2026-08-20,12.49,0.014622,9
002896.SZ,2026-08-20,76.4,-0.00456,10
002909.SZ,2026-08-20,5.08,-0.043315,11
002917.SZ,2026-08-20,10.08,-0.059789,12
003025.SZ,2026-08-20,12.32,-0.145631,13
002915.SZ,2026-08-20,17.21,-0.148441,14
603721.SH,2026-08-20,17.25,-0.158126,15
002871.SZ,2026-08-20,16.8,-0.189971,16
002875.SZ,2026-08-20,13.05,-0.207169,17
002922.SZ,2026-08-20,25.2,-0.258169,18
003018.SZ,2026-08-20,40.62,-0.371207,19
002903.SZ,2026-08-20,29.03,-0.422289,20
