date,symbol,quantity,available_to_sell,avg_cost,last_price,market_value,unrealized_pnl
2026-08-20,603655.SH,4000,4000,32.8298,33.04,132160.0,840.62
2026-08-20,003016.SZ,19400,19400,6.8821,6.91,134054.0,541.96
2026-08-20,003020.SZ,7100,7100,18.6156,19.35,137385.0,5214.36
2026-08-20,003023.SZ,4700,4700,27.9984,27.41,128827.0,-2765.47
2026-08-20,003017.SZ,6100,6100,21.7165,22.58,137738.0,5267.27
2026-08-20,603679.SH,6000,6000,17.9792,21.56,129360.0,21484.66
2026-08-20,002923.SZ,11400,11400,11.6635,11.44,130416.0,-2547.88
2026-08-20,002883.SZ,14700,14700,9.0327,9.11,133917.0,1136.18
