time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1421,2026-09-01,False,7,581895.24,581895.24,0,0,0,0,,002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.418105,-0.704778,0.37844,63669.049
1455,2026-09-01,False,7,581895.24,581895.24,0,0,0,0,,002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.418105,-0.704778,0.37844,63669.049
1620,2026-09-01,False,7,1233790.22,1233790.22,0,0,0,0,,002875.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.23379,-0.349462,0.38961,44379.7036
1745,2026-09-01,False,7,1222677.10,1222677.10,0,0,0,0,,002875.SZ;002909.SZ;002917.SZ;003015.SZ;003016.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.222677,-0.306814,0.39916,44468.8792
