time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1413,2026-09-16,False,16,1160571.70,378812.70,4,0,0,0,,002871.SZ;002875.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.160572,-0.292616,0.398104,41898.6315
1456,2026-09-16,False,16,1194166.68,388013.68,4,0,0,0,,002871.SZ;002875.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.194167,-0.490582,0.379845,80075.6644
1619,2026-09-15,False,13,956805.09,143725.09,5,0,0,0,,002871.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.043195,-0.302099,0.393204,35923.9508
2026,2026-09-16,False,16,1230836.03,403712.03,4,0,0,0,,002871.SZ;002875.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.230836,-0.292435,0.418719,41780.9838
