date,symbol,quantity,available_to_sell,avg_cost,last_price,market_value,unrealized_pnl
2026-08-20,002883.SZ,18200,18200,9.0327,9.17,166894.0,2498.7
2026-08-20,603679.SH,7400,7400,17.9708,21.56,159544.0,26559.75
2026-08-20,003023.SZ,5800,5800,27.9984,27.93,161994.0,-396.7
2026-08-20,002923.SZ,14100,14100,11.6635,11.44,161304.0,-3151.32
2026-08-20,003020.SZ,8800,8800,18.6156,19.17,168696.0,4878.87
2026-08-20,603655.SH,5000,5000,32.8298,32.62,163100.0,-1049.23
2026-08-20,003016.SZ,23800,23800,6.8821,6.86,163268.0,-525.12
2026-08-20,003017.SZ,7500,7500,21.7165,22.36,167700.0,4826.15
