time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1415,2026-09-15,False,17,814697.85,264449.85,4,0,0,0,,002871.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.185302,-0.644698,0.354331,64598.0294
1453,2026-09-15,False,17,1144329.34,365364.34,4,0,0,0,,002871.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.144329,-0.275984,0.393805,41707.8742
1625,2026-09-15,False,17,1273258.39,402778.39,4,0,0,0,,002875.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.273258,-0.268474,0.418719,41801.3821
1747,2026-09-15,False,17,1268002.67,412027.67,4,0,0,0,,002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.268003,-0.288196,0.430622,43708.6805
2029,2026-09-15,False,17,1269073.87,413098.87,4,0,0,0,,002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.269074,-0.287773,0.430622,43726.1724
