time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1042,2026-08-26,False,11,834324.12,834324.12,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.165676,-0.657788,0.373874,75872.465
1055,2026-08-26,False,11,646022.38,646022.38,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.353978,-0.724893,0.352144,67757.3325
1153,2026-08-25,False,13,929460.82,929460.82,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.070539,-0.360174,0.348837,38065.5842
1333,2026-08-26,False,11,1039443.77,1039443.77,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.039444,-0.482174,0.369231,59119.4208
1403,2026-08-26,False,11,970541.46,970541.46,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.029459,-0.562909,0.340491,58312.8929
1504,2026-08-26,False,11,1322293.92,1322293.92,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.322294,-0.258668,0.422886,40806.497
1545,2026-08-25,False,13,929460.82,929460.82,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,-0.070539,-0.360174,0.348837,38065.5842
