time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1406,2026-09-04,False,4,1289787.61,1289787.61,0,0,0,0,,002875.SZ;002909.SZ;002917.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603679.SH;603721.SH,0.289788,-0.423539,0.389776,65158.8185
1439,2026-09-04,False,4,1159298.10,1159298.10,0,0,0,0,,002875.SZ;002909.SZ;002917.SZ;002923.SZ;003015.SZ;003016.SZ;003020.SZ;003023.SZ;603679.SH;603721.SH,0.159298,-0.542356,0.356608,79609.3126
1545,2026-09-04,False,4,1322293.92,1322293.92,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003015.SZ;003016.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.322294,-0.258668,0.422886,40806.497
1720,2026-09-04,False,12,1094683.79,1094683.79,0,0,0,0,,002909.SZ;002917.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603679.SH;603721.SH,0.094684,-0.338138,0.380711,39139.6149
