time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1039,2026-08-21,False,14,1905347.89,1905347.89,0,0,0,0,,002883.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.905348,-0.383669,0.409091,54212.1261
1053,2026-08-21,False,14,1321339.97,1321339.97,0,0,0,0,,002883.SZ;002909.SZ;002917.SZ;002923.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.32134,-0.291571,0.393701,24570.1028
1138,2026-08-21,False,14,1708072.90,1708072.90,0,0,0,0,,002883.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.708073,-0.1962,0.455357,26995.8075
1150,2026-08-20,False,13,1217558.51,1217558.51,0,0,0,0,,002883.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.217559,-0.187108,0.4,22790.9702
1331,2026-08-21,False,14,1679408.22,1679408.22,0,0,0,0,,002883.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.679408,-0.399471,0.403756,53181.0727
1401,2026-08-21,False,14,1402290.07,1402290.07,0,0,0,0,,002883.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.40229,-0.352903,0.384181,36091.6271
