date,symbol,quantity,available_to_sell,avg_cost,last_price,market_value,unrealized_pnl
2026-08-19,603679.SH,9200,9200,18.0091,21.56,198352.0,32668.18
2026-08-19,002923.SZ,17800,17800,11.4934,11.44,203632.0,-951.36
2026-08-19,003023.SZ,8500,8500,23.9572,27.93,237405.0,33768.93
2026-08-19,003020.SZ,11100,11100,18.4555,19.17,212787.0,7930.56
2026-08-19,002883.SZ,23200,23200,8.8126,9.11,211352.0,6898.68
2026-08-19,003016.SZ,29300,29300,6.9721,6.86,200998.0,-3284.27
2026-08-19,003017.SZ,9200,9200,22.0966,22.36,205712.0,2423.03
