time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1411,2026-09-11,False,19,1321701.73,203908.73,5,0,0,0,,002871.SZ;002875.SZ;002909.SZ;002915.SZ;003015.SZ;003016.SZ;003018.SZ;003020.SZ;003023.SZ;603679.SH;603721.SH,0.321702,-0.25863,0.422886,41141.9569
1445,2026-09-11,False,19,807053.34,131045.34,5,4,3,1,SELL:003020.SZ:8300:ALLOW;SELL:003023.SZ:5400:ALLOW;BUY:002909.SZ:1300:ALLOW;BUY:002923.SZ:12800:BLOCK,002871.SZ;002875.SZ;002903.SZ;002909.SZ;003015.SZ;003016.SZ;003018.SZ;003020.SZ;003023.SZ;603679.SH;603721.SH,-0.193474,-0.657788,0.372197,76484.8124
