symbol,date,close,momentum,rank
003023.SZ,2026-08-18,27.75,0.27352,1
003020.SZ,2026-08-18,19.41,0.234733,2
002923.SZ,2026-08-18,11.66,0.139785,3
603679.SH,2026-08-18,22.73,0.077762,4
002896.SZ,2026-08-18,84.89,0.07225,5
603655.SH,2026-08-18,33.75,0.051402,6
003016.SZ,2026-08-18,7.02,0.0462,7
003017.SZ,2026-08-18,23.31,0.029912,8
002883.SZ,2026-08-18,9.39,0.025109,9
003015.SZ,2026-08-18,12.6,0.021898,10
603721.SH,2026-08-18,18.33,-0.016103,11
002909.SZ,2026-08-18,5.23,-0.047359,12
002917.SZ,2026-08-18,10.44,-0.054433,13
002915.SZ,2026-08-18,17.71,-0.131011,14
002871.SZ,2026-08-18,17.63,-0.178472,15
002922.SZ,2026-08-18,27.14,-0.202937,16
003025.SZ,2026-08-18,12.58,-0.204804,17
002875.SZ,2026-08-18,13.68,-0.209249,18
003018.SZ,2026-08-18,43.05,-0.231881,19
002903.SZ,2026-08-18,29.79,-0.415768,20
