time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1508,2026-08-31,False,8,1322293.92,1322293.92,0,0,0,0,,002875.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.322294,-0.258668,0.422886,40806.497
1548,2026-08-31,False,8,1024817.44,1024817.44,0,0,0,0,,002875.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.024817,-0.434249,0.361538,43980.7243
1722,2026-08-31,False,12,1030932.95,1030932.95,0,0,0,0,,002875.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003017.SZ;003020.SZ;003023.SZ;603655.SH;603679.SH,0.030933,-0.33229,0.364486,40566.1988
