symbol,name,generated_at,latest,pct_chg,turnover_rate,pe,amount,total_market_cap,float_market_cap,is_st,is_suspended,is_limit_up,is_limit_down,block_reasons,tradable,health_score
002871.SZ,伟隆股份,2026-09-02T12:45:33,19.82,4.92,5.79,50.69,169024646.4,4991743207.9,2961376025.86,False,False,False,False,,True,100.0
002875.SZ,安奈儿,2026-09-02T12:45:33,14.08,-0.49,4.25,-365.64,127019842.0,2990741529.6,2990741529.6,False,False,False,False,pe_out_of_range,False,85.0
