symbol,date,close,momentum,rank
003023.SZ,2026-08-20,27.93,0.326211,1
003020.SZ,2026-08-20,19.17,0.228846,2
002923.SZ,2026-08-20,11.44,0.152064,3
003016.SZ,2026-08-20,6.86,0.057011,4
603655.SH,2026-08-20,32.62,0.051241,5
002883.SZ,2026-08-20,9.11,0.0213,6
603679.SH,2026-08-20,21.62,0.019331,7
003017.SZ,2026-08-20,22.36,0.015579,8
003015.SZ,2026-08-20,12.43,0.00485,9
002896.SZ,2026-08-20,76.4,-0.00456,10
002909.SZ,2026-08-20,5.08,-0.043315,11
002917.SZ,2026-08-20,10.08,-0.059789,12
603721.SH,2026-08-20,17.28,-0.095288,13
003025.SZ,2026-08-20,12.35,-0.143551,14
002915.SZ,2026-08-20,17.21,-0.148441,15
002875.SZ,2026-08-20,13.05,-0.207169,16
002871.SZ,2026-08-20,16.5,-0.208253,17
002922.SZ,2026-08-20,25.2,-0.258169,18
003018.SZ,2026-08-20,39.7,-0.356251,19
002903.SZ,2026-08-20,27.88,-0.453333,20
