date,symbol,quantity,available_to_sell,avg_cost,last_price,market_value,unrealized_pnl
2026-08-20,603679.SH,6600,6600,17.973,21.62,142692.0,24070.36
2026-08-20,003023.SZ,5100,5100,27.9984,27.93,142443.0,-348.82
2026-08-20,002923.SZ,12400,12400,11.6635,11.44,141856.0,-2771.38
2026-08-20,002883.SZ,16000,16000,9.0327,9.11,145760.0,1236.66
2026-08-20,003020.SZ,7800,7800,18.6156,19.17,149526.0,4324.45
2026-08-20,603655.SH,4400,4400,32.8298,32.62,143528.0,-923.32
2026-08-20,003016.SZ,21100,21100,6.8821,6.86,144746.0,-465.55
2026-08-20,003017.SZ,6600,6600,21.7165,22.36,147576.0,4247.01
