time,signal_date,rebalance_day,next_rebalance_in_trading_days,equity,cash,positions,planned_orders,allow_orders,block_orders,order_symbols,watch_symbols,total_return,max_drawdown,win_rate,total_cost
1405,2026-09-18,False,14,1226980.45,395460.45,4,0,0,0,,002871.SZ;002875.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.22698,-0.292683,0.397196,43942.8254
1449,2026-09-18,False,14,1145420.40,366627.40,4,0,0,0,,002871.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.14542,-0.444042,0.380208,75293.8145
1600,2026-09-18,False,14,1252407.61,403790.61,4,0,0,0,,002871.SZ;002903.SZ;002909.SZ;002923.SZ;003015.SZ;003016.SZ;003018.SZ;003023.SZ;603655.SH;603679.SH;603721.SH,0.252408,-0.292422,0.418719,41781.0052
